id,title,artist,genre,region,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,demo,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,demo,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,demo,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,demo,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,demo,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,demo,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,demo,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,demo,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,demo,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,demo,happy,0.76,124,0.81,0.82,0.35
11,Anti-Hero,Taylor Swift,pop,north america,intense,0.648,96.9,0.49,0.633,0.121
12,Shake It Off,Taylor Swift,pop,north america,happy,0.8,160.1,0.942,0.647,0.065
13,24K Magic,Bruno Mars,funk,north america,happy,0.804,107.0,0.634,0.818,0.034
14,Talking to the Moon,Bruno Mars,pop,north america,intense,0.607,145.8,0.065,0.523,0.512
15,Jeje,Diamond Platnumz,bongo,east africa,happy,0.72,108,0.80,0.85,0.20
16,Waah,Diamond Platnumz,bongo,east africa,romantic,0.66,100,0.63,0.79,0.28
17,Sura Yako,Sauti Sol,afropop,east africa,happy,0.965,180.2,0.782,0.561,0.438
18,Melanin,Sauti Sol,afropop,east africa,happy,0.677,95.1,0.756,0.442,0.076
19,Malaika,Nyashinski,afropop,east africa,chill,0.54,95,0.68,0.70,0.36
20,Nairobi,Otile Brown,afropop,east africa,romantic,0.58,102,0.60,0.74,0.32
21,Blinding Lights,The Weeknd,synthpop,north america,intense,0.73,171.0,0.334,0.513,0.001
22,Save Your Tears,The Weeknd,synthpop,north america,happy,0.825,118.0,0.644,0.679,0.021
23,As It Was,Harry Styles,pop,europe,happy,0.731,173.9,0.662,0.52,0.342
24,Levitating,Dua Lipa,pop,europe,happy,0.884,103.0,0.914,0.695,0.056
25,bad guy,Billie Eilish,pop,north america,chill,0.425,135.1,0.562,0.701,0.328
26,Happier Than Ever,Billie Eilish,pop,north america,moody,0.225,81.1,0.297,0.332,0.767
27,good 4 u,Olivia Rodrigo,pop rock,north america,happy,0.664,166.9,0.688,0.563,0.335
28,Smells Like Teen Spirit,Nirvana,rock,north america,happy,0.873,116.7,0.816,0.479,0.0
29,Kiss Me,Sixpence None The Richer,indie pop,north america,intense,0.749,100.0,0.421,0.526,0.023
30,One Dance,Drake,afrobeats,north america,intense,0.605,103.9,0.427,0.788,0.009
31,Last Last,Burna Boy,afrobeats,west africa,chill,0.565,87.9,0.55,0.795,0.131
32,Calm Down,Rema,afrobeats,west africa,happy,0.806,107.0,0.802,0.801,0.382
33,"Komasava (Comment Ça Va) [feat. Khalil Harrison, Chley Nkosi] [Remix]",Diamond Platnumz,bongo,east africa,happy,0.799,113.0,0.711,0.857,0.089
34,Single Again,Harmonize,bongo,east africa,happy,0.696,110.0,0.764,0.804,0.029
35,Teamo (feat. Messias Maricoa),Rayvanny,bongo,east africa,happy,0.744,91.0,0.678,0.481,0.425
36,Sumu (feat. Marioo),Alikiba,bongo,east africa,intense,0.852,113.0,0.441,0.788,0.06
37,Mwizi,Zuchu,bongo,east africa,happy,0.737,91.1,0.801,0.817,0.417
38,Darasa La Saba,Mbosso,bongo,east africa,intense,0.684,85.2,0.506,0.431,0.228
39,Dah! (feat. Alikiba),Nandy,bongo,east africa,intense,0.761,93.0,0.49,0.753,0.459
40,2025,Marioo,bongo,east africa,happy,0.618,92.9,0.751,0.764,0.569
41,Enjoy,Jux,bongo,east africa,happy,0.673,116.0,0.807,0.892,0.292
42,Lil Mama,Sauti Sol,afropop,east africa,happy,0.815,108.0,0.63,0.76,0.074
43,Busy,Nyashinski,afropop,east africa,happy,0.735,119.9,0.93,0.873,0.129
44,Dusuma,Otile Brown,afropop,east africa,happy,0.794,178.0,0.723,0.731,0.241
45,All My Enemies Are Suffering,Bien,afropop,east africa,happy,0.892,115.5,0.944,0.807,0.186
46,Niko Sawa (feat. Bien),Nviiri The Storyteller,afropop,east africa,intense,0.642,79.0,0.329,0.736,0.101
47,Uspimee,Khaligraph Jones,hip hop,east africa,happy,0.757,90.9,0.815,0.843,0.01
48,Kuu Kuu,Willy Paul,afropop,east africa,happy,0.632,196.3,0.77,0.75,0.406
49,Zigido,Eddy Kenzo,afropop,east africa,happy,0.875,200.0,0.964,0.635,0.225
50,Binkolere,Sheebah Karungi,afropop,east africa,happy,0.807,96.1,0.894,0.784,0.537
51,Sambagala,Bebe Cool,afropop,east africa,relaxed,0.522,106.0,0.818,0.894,0.45
52,Tenanekegn,Teddy Afro,ethio pop,east africa,happy,0.736,123.0,0.878,0.72,0.127
53,Fikir,Aster Aweke,ethio pop,east africa,happy,0.797,174.0,0.942,0.655,0.106
54,Yègellé Tezeta,Mulatu Astatke,ethio jazz,east africa,relaxed,0.233,125.6,0.777,0.839,0.745
55,Alone,Burna Boy,afrobeats,west africa,intense,0.659,90.0,0.307,0.6,0.176
56,Time,Wizkid,afrobeats,west africa,relaxed,0.569,95.0,0.771,0.84,0.331
57,FOR THE ROAD,Davido,afrobeats,west africa,chill,0.574,133.1,0.579,0.831,0.064
58,BADMAN GANGSTA,Asake,afrobeats,west africa,chill,0.586,121.6,0.492,0.631,0.627
59,Gimme Dat (feat. Wizkid),Ayra Starr,afrobeats,west africa,intense,0.754,94.9,0.596,0.739,0.009
60,Replay,Tems,afrobeats,west africa,relaxed,0.549,123.9,0.78,0.613,0.097
61,Bandana,Fireboy DML,afrobeats,west africa,intense,0.605,104.9,0.366,0.818,0.293
62,soso,Omah Lay,afrobeats,west africa,intense,0.725,105.0,0.53,0.711,0.424
63,Koroba,Tiwa Savage,afrobeats,west africa,happy,0.645,104.0,0.93,0.85,0.358
64,WAHALA (feat. Olamide),CKay,afrobeats,west africa,chill,0.566,96.9,0.54,0.852,0.221
65,Taxi Driver,Joeboy,afrobeats,west africa,intense,0.798,106.1,0.573,0.698,0.562
66,Johnny,Yemi Alade,afropop,west africa,happy,0.842,125.1,0.875,0.84,0.2
67,London Town,Mr Eazi,afrobeats,west africa,moody,0.48,106.0,0.267,0.892,0.006
68,Her Excellency (Nwunye Odogwu),Flavour,highlife,west africa,happy,0.624,197.9,0.924,0.687,0.231
69,Collabo,P-Square,afropop,west africa,happy,0.877,194.8,0.902,0.581,0.372
70,Expensive Shit,Fela Kuti,afrobeat,west africa,happy,0.875,123.9,0.684,0.721,0.217
71,Till We Die (feat. Ruger),Sarkodie,hip hop,west africa,chill,0.551,101.6,0.5,0.517,0.216
72,Taking Over,Shatta Wale,dancehall,west africa,relaxed,0.423,112.9,0.711,0.851,0.2
73,EKELEBE (feat. ODUMODUBLVCK),Stonebwoy,dancehall,west africa,intense,0.663,111.8,0.53,0.644,0.154
74,Sacrifice,Black Sherif,afrobeats,west africa,intense,0.645,119.9,0.392,0.812,0.442
75,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,alte,west africa,chill,0.523,110.0,0.319,0.87,0.433
76,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,mbalax,west africa,intense,0.659,154.2,0.528,0.679,0.077
77,Yamore,Salif Keita,mande,west africa,relaxed,0.487,80.1,0.701,0.635,0.676
78,We Are One,Angelique Kidjo,afropop,west africa,chill,0.506,81.6,0.283,0.551,0.33
79,Nànnuflày,Tinariwen,desert blues,west africa,moody,0.476,118.3,0.303,0.597,0.851
80,Afsana,Fally Ipupa,rumba,central africa,happy,0.758,164.0,0.712,0.651,0.26
81,Papa Ngwasuma,Koffi Olomide,rumba,central africa,happy,0.876,122.4,0.952,0.563,0.36
82,Show Me the Way,Papa Wemba,rumba,central africa,happy,0.93,101.7,0.898,0.699,0.133
